IdConf,Rep,Gen,Z,Id,C,Gamma,Degree,Alpha,A,Coef0,Acc,PSV,CmbIdx,G_mean,Time,Arbol
a,1,0,3.469395570491128,0,22.09460070005524,3.1338422508820583,3,0.5722563535409582,0.026456364544005444,3.514284594657584,76.20402684563759,0.5564793049731714,40.149243414220784,57.51644386117181,656,(K_11+(G*H))
a,1,0,3.469395570491128,1,15.127562326995314,1.8305483385574244,3,-0.2871488145398242,0.36537564157703756,0.36533767828637265,76.60581655480985,0.5578193309920101,40.98543690313438,52.994877831547875,554,((E+K_11)*(P+R))
a,1,0,3.469395570491128,2,4.028678876686563,1.7560550161595117,2,0.29106665990020075,1.347617899840205,4.8121783528942,76.33825503355703,0.4852954478199452,44.49546493825149,3.380617018914066,47,L
a,1,0,3.469395570491128,3,29.06163954995232,0.452761163206692,2,-0.5683385081805816,1.6865371172983947,1.6632314365229894,77.80492170022372,0.4602263527283488,49.30533984063664,55.97639909634303,693,((L+R)*(R*W))
a,1,0,3.469395570491128,4,26.22644577730406,1.9050416609553378,6,-0.8653642591775268,1.3821333833138698,0.9184970036785439,74.59776286353467,0.5421075259211283,37.43592329209627,58.08477051295813,607,((K_11*R)*(W*K_11))
a,1,0,3.469395570491128,5,19.259407404244136,0.601747748630704,6,0.2752305727416908,1.7210526007720592,2.7695501618131386,76.60313199105146,0.5534698298725299,41.239956667171604,57.59318109701695,1870,((R*P)+(G+K_11))
a,1,0,3.469395570491128,6,8.160523000261069,0.5272544262327912,5,0.8534460173793934,0.7042948888226482,2.2163908364209672,77.13825503355704,0.5197156911463364,44.459425021902675,55.23300682236942,830,(H+(E+K_11))
a,1,0,3.469395570491128,7,1.1934846272011441,3.2083355732799714,4,-0.005959150701388971,1.043214136068259,4.067443920049756,77.13736017897091,0.5574809744222534,42.23662911384552,57.39890717325248,683,((K_11*K_13)*(G+H))
a,1,0,3.469395570491128,8,30.358290854552884,0.6762410710286173,1,-0.30298490169833414,0.738810372296313,3.3227095617111164,74.06263982102908,0.4151048849531828,42.912506391385854,55.278424136173825,483,((H+E)+(W+L))
a,1,0,3.469395570491128,9,23.3912520046558,3.3573221587039836,2,0.8376099302208835,1.0777296195419237,0.17376264533990493,72.19328859060404,0.5120239417982033,34.08884740872994,57.4118873006062,789,((K_11*G)*(L*W))
a,1,0,3.469395570491128,10,12.292368077509895,3.2828288363060705,5,-0.5841745953390916,0.06097187780509138,4.620603319947733,76.20402684563757,0.4759348077341835,44.684641061213696,0.0,767,((R*P)*(H*H))
a,1,0,3.469395570491128,11,5.32532970444997,1.979534923981437,1,0.5564202663824482,0.399891125050702,1.4716564035765218,76.06979865771812,0.5678393755478752,39.163930818384806,55.85191049311366,599,((R*H)*(K_11*K_13))
a,1,0,3.469395570491128,12,3.544895119280824,1.5701607023163187,6,0.7584294348236889,0.945903302925722,4.960621689934593,78.07427293064877,0.5354247044963456,45.78094035315407,55.599455363874505,108,K_13
a,1,0,3.469395570491128,13,28.57785626938374,0.2668667899916848,2,-0.10097570345477114,1.2848225501713328,1.811674773563381,76.60581655480985,0.4789431661464761,45.46069406968501,24.778450498759724,181,R
